code_insee,code_postal,eurocircos_name,comsimp_name,pref_related,latitude,longitude
38065,38690,Châbons,Châbons,La Tour-du-Pin,45.416667,5.433333
38066,38122,Châlons,Chalon,Vienne,45.45,4.933333
38067,38460,Chamagnieu,Chamagnieu,La Tour-du-Pin,45.683333,5.166667
38068,38800,Champagnier,Champagnier,Grenoble,45.1,5.716667
38069,38260,Champier,Champier,Vienne,45.45,5.283333
38070,38190,Le Champ-près-Froges,Le Champ-près-Froges,Grenoble,45.283333,5.933333
38071,38560,Champ-sur-Drac,Champ-sur-Drac,Grenoble,45.066667,5.733333
38072,38150,Chanas,Chanas,Vienne,45.3,4.816667
38073,38740,Chantelouve,Chantelouve,Grenoble,,
38074,38470,Chantesse,Chantesse,Grenoble,45.233333,5.45
38075,38530,Chapareillan,Chapareillan,Grenoble,45.466667,5.966667
38076,38110,La Chapelle-de-la-Tour,La Chapelle-de-la-Tour,La Tour-du-Pin,45.583333,5.466667
38077,38150,La Chapelle-de-Surieu,La Chapelle-de-Surieu,Vienne,45.4,4.9
38078,38580,La Chapelle-du-Bard,La Chapelle-du-Bard,Grenoble,45.416667,6.1
38080,38490,Charancieu,Charancieu,La Tour-du-Pin,45.516667,5.566667
38081,38790,Charantonnay,Charantonnay,Vienne,45.533333,5.1
38082,38850,Charavines,Charavines,La Tour-du-Pin,45.433333,5.516667
38083,38390,Charette,Charette,La Tour-du-Pin,45.816667,5.366667
38084,38140,Charnècles,Charnècles,Grenoble,45.35,5.533333
38085,38230,Charvieu-Chavagneux,Charvieu-Chavagneux,La Tour-du-Pin,,
38086,38470,Chasselay,Chasselay,Grenoble,45.25,5.333333
38087,38670,Chasse-sur-Rhône,Chasse-sur-Rhône,Vienne,45.566667,4.816667
38089,38730,Chassignieu,Chassignieu,La Tour-du-Pin,45.5,5.5
38090,38650,Château-Bernard,Château-Bernard,Grenoble,44.983333,5.583333
38091,38300,Châteauvilain,Châteauvilain,La Tour-du-Pin,,
38092,38680,Châtelus,Châtelus,Grenoble,45.05,5.366667
38093,38980,Châtenay,Châtenay,Vienne,45.316667,5.233333
38094,38440,Châtonnay,Châtonnay,Vienne,45.483333,5.2
38095,38160,Chatte,Chatte,Grenoble,45.15,5.283333
38097,38230,Chavanoz,Chavanoz,La Tour-du-Pin,45.783333,5.166667
38098,38730,Chélieu,Chélieu,La Tour-du-Pin,45.5,5.483333
38099,38160,Chevrières,Chevrières,Grenoble,45.183333,5.3
38100,38570,Le Cheylas,Le Cheylas,Grenoble,45.366667,6
38101,38550,Cheyssieu,Cheyssieu,Vienne,45.433333,4.85
38102,38300,Chèzeneuve,Chèzeneuve,La Tour-du-Pin,45.566667,5.216667
38103,38930,Chichilianne,Chichilianne,Grenoble,44.816667,5.566667
38104,38490,Chimilin,Chimilin,La Tour-du-Pin,45.583333,5.6
38105,38850,Chirens,Chirens,Grenoble,45.416667,5.55
38106,38220,Cholonge,Cholonge,Grenoble,45,5.8
38107,38121,Chonas-l'Amballan,Chonas-l'Amballan,Vienne,45.466667,4.816667
38108,38680,Choranche,Choranche,Grenoble,45.066667,5.4
38109,38460,Chozeau,Chozeau,La Tour-du-Pin,45.7,5.216667
38110,38200,Chuzelles,Chuzelles,Vienne,45.583333,4.883333
38111,38640,Claix,Claix,Grenoble,45.116667,5.666667
38112,38142,Clavans-en-Haut-Oisans,Clavans-en-Haut-Oisans,Grenoble,45.066667,6.15
38113,38930,Clelles,Clelles,Grenoble,44.833333,5.616667
38114,38550,Clonas-sur-Varèze,Clonas-sur-Varèze,Vienne,45.416667,4.8
38115,38650,Saint-Martin-de-la-Cluze,Saint-Martin-de-la-Cluze,Grenoble,,
38116,38350,Cognet,Cognet,Grenoble,44.883333,5.783333
38117,38470,Cognin-les-Gorges,Cognin-les-Gorges,Grenoble,45.166667,5.416667
38118,38690,Colombe,Colombe,La Tour-du-Pin,45.4,5.45
38120,38190,La Combe-de-Lancey,La Combe-de-Lancey,Grenoble,45.233333,5.9
38121,38260,Commelle,Commelle,Vienne,45.416667,5.216667
38124,38630,Corbelin,Corbelin,La Tour-du-Pin,45.6,5.55
38126,38700,Corenc,Corenc,Grenoble,45.216667,5.766667
38127,38710,Cornillon-en-Trièves,Cornillon-en-Trièves,Grenoble,44.833333,5.7
38128,38970,Corps,Corps,Grenoble,44.816667,5.95
38129,38250,Corrençon-en-Vercors,Corrençon-en-Vercors,Grenoble,45.033333,5.533333
38130,38260,La Côte-Saint-André,La Côte-Saint-André,Vienne,45.383333,5.25
38131,38138,Les Côtes-d'Arey,Les Côtes-d'Arey,Vienne,,
38132,38970,Les Côtes-de-Corps,Les Côtes-de-Corps,Grenoble,,
38133,38500,Coublevie,Coublevie,Grenoble,45.35,5.616667
38134,38122,Cour-et-Buis,Cour-et-Buis,Vienne,45.433333,5
38135,38510,Courtenay,Courtenay,La Tour-du-Pin,45.733333,5.383333
38136,38300,Crachier,Crachier,La Tour-du-Pin,45.55,5.233333
38137,38210,Cras,Cras,Grenoble,45.266667,5.45
38138,38460,Crémieu,Crémieu,La Tour-du-Pin,45.716667,5.25
38139,38510,Creys-Mépieu,Creys-Mépieu,La Tour-du-Pin,,
38140,38190,Crolles,Crolles,Grenoble,45.283333,5.883333
38141,38300,Culin,Culin,Vienne,45.516667,5.25
38144,38790,Diémoz,Diémoz,Vienne,45.583333,5.1
38146,38460,Dizimieu,Dizimieu,La Tour-du-Pin,45.716667,5.3
38147,38730,Doissin,Doissin,La Tour-du-Pin,45.5,5.416667
38148,38110,Dolomieu,Dolomieu,La Tour-du-Pin,45.616667,5.5
38149,38300,Domarin,Domarin,La Tour-du-Pin,45.583333,5.25
38150,38420,Domène,Domène,Grenoble,45.2,5.833333
38151,38130,Echirolles,Échirolles,Grenoble,45.133333,5.716667
38152,38300,Eclose,Eclose-Badinières,La Tour-du-Pin,45.5,5.3
38153,38360,Engins,Engins,Grenoble,45.183333,5.616667
38154,38740,Entraigues,Entraigues,Grenoble,,
38155,38380,Entre-deux-Guiers,Entre-deux-Guiers,Grenoble,45.433333,5.75
38156,38300,Les Eparres,Les Éparres,La Tour-du-Pin,45.533333,5.3
38157,38780,Estrablin,Estrablin,Vienne,45.516667,4.966667
38158,38320,Eybens,Eybens,Grenoble,45.15,5.75
38159,38690,Eydoche,Eydoche,La Tour-du-Pin,45.433333,5.333333
38160,38780,Eyzin-Pinet,Eyzin-Pinet,Vienne,45.466667,4.983333
38161,38260,Faramans,Faramans,Vienne,45.383333,5.166667
38162,38110,Faverges-de-la-Tour,Faverges-de-la-Tour,La Tour-du-Pin,45.583333,5.516667
38163,38580,La Ferrière,La Ferrière,Grenoble,45.316667,6.083333
38166,38530,La Flachère,La Flachère,Grenoble,,
38167,38690,Flachères,Flachères,La Tour-du-Pin,45.466667,5.316667
38169,38600,Fontaine,Fontaine,Grenoble,45.183333,5.666667
38170,38120,Fontanil-Cornillon,Fontanil-Cornillon,Grenoble,45.25,5.666667
38171,38590,La Forteresse,La Forteresse,Vienne,45.3,5.4
38172,38080,Four,Four,La Tour-du-Pin,45.583333,5.183333
38173,38142,Le Freney-d'Oisans,Le Freney-d'Oisans,Grenoble,45.033333,6.116667
38174,38260,La Frette,La Frette,Vienne,45.383333,5.35
38175,38190,Froges,Froges,Grenoble,45.266667,5.916667
38176,38290,Frontonas,Frontonas,La Tour-du-Pin,45.65,5.183333
38177,38520,La Garde,La Garde,Grenoble,,
38179,38610,Gières,Gières,Grenoble,45.183333,5.783333
38180,38260,Gillonnay,Gillonnay,Vienne,45.383333,5.283333
38181,38570,Goncelin,Goncelin,Grenoble,45.333333,5.983333
38182,38690,Le Grand-Lemps,Le Grand-Lemps,La Tour-du-Pin,45.383333,5.416667
38183,38490,Granieu,Granieu,La Tour-du-Pin,45.6,5.583333
38184,38540,Grenay,Grenay,Vienne,45.666667,5.083333
38185,38000,Grenoble,Grenoble,Grenoble,45.166667,5.716667
38186,38650,Gresse-en-Vercors,Gresse-en-Vercors,Grenoble,44.9,5.566667
38187,38450,Le Gua,Le Gua,Grenoble,45.016667,5.616667
38188,38320,Herbeys,Herbeys,Grenoble,45.133333,5.783333
38189,38540,Heyrieux,Heyrieux,Vienne,45.633333,5.05
38190,38118,Hières-sur-Amby,Hières-sur-Amby,La Tour-du-Pin,45.8,5.283333
38191,38750,Huez,Huez,Grenoble,45.083333,6.05
38192,38570,Hurtières,Hurtières,Grenoble,45.283333,5.966667
38193,38080,L'Isle-d'Abeau,L'Isle-d'Abeau,La Tour-du-Pin,45.616667,5.233333
38194,38140,Izeaux,Izeaux,Grenoble,45.333333,5.416667
38195,38160,Izeron,Izeron,Grenoble,45.15,5.383333
38197,38280,Janneyrias,Janneyrias,La Tour-du-Pin,45.75,5.1
38198,38270,Jarcieu,Jarcieu,Vienne,45.333333,4.95
38199,38200,Jardin,Jardin,Vienne,45.5,4.916667
38200,38560,Jarrie,Jarrie,Grenoble,45.116667,5.766667
38203,38220,Laffrey,Laffrey,Grenoble,45.033333,5.766667
38204,38930,Lalley,Lalley,Grenoble,44.75,5.683333
38205,38250,Lans-en-Vercors,Lans-en-Vercors,Grenoble,45.116667,5.583333
38206,38190,Laval,Laval,Grenoble,45.25,5.933333
38207,38350,Lavaldens,Lavaldens,Grenoble,44.983333,5.883333
38208,38710,Lavars,Lavars,Grenoble,44.85,5.666667
38209,38270,Lentiol,Lentiol,Vienne,45.3,5.116667
38210,38460,Leyrieu,Leyrieu,La Tour-du-Pin,45.75,5.25
38211,38440,Lieudieu,Lieudieu,Vienne,45.466667,5.183333
38212,38220,Livet-et-Gavet,Livet-et-Gavet,Grenoble,45.1,5.933333
38213,38690,Longechenal,Longechenal,Vienne,45.416667,5.333333
